Código especifico;Causa;Código general;Causa general;Grupo de causa
1.1.1;1.1.1 Quema avisada de desechos forestales que se propaga libre y sin control;1.1;1.1 Faenas forestales;Grupo 1 - Accidentales
1.1.2;1.1.2 Partículas incandescentes generadas por roce de maquinaria o herramienta forestal con rocas, cercos o material metálico;1.1;1.1 Faenas forestales;Grupo 1 - Accidentales
1.1.3;1.1.3 Otros incendios accidentales no clasificados en faenas forestales;1.1;1.1 Faenas forestales;Grupo 1 - Accidentales
1.2.1;1.2.1 Quema avisada de desechos agrícolas  que se propaga libre y sin control;1.2;1.2 Faenas agrícolas y pecuarias;Grupo 1 - Accidentales
1.2.2;1.2.2 Partículas incandescentes  generadas por roce de maquinaria o herramienta agrícola con rocas, cercos o material metálico;1.2;1.2 Faenas agrícolas y pecuarias;Grupo 1 - Accidentales
1.2.3;1.2.3 Otros incendios accidentales no clasificados en faenas agropecuarias;1.2;1.2 Faenas agrícolas y pecuarias;Grupo 1 - Accidentales
1.3.1;1.3.1 Empleo de fuentes de calor en áreas habilitadas, como fogatas, cocinillas u otro elemento para cocinar, calefacción, iluminación u otros fines;1.3;1.3 Actividades al aire libre (camping, excursiones, caza, pesca, otros);Grupo 1 - Accidentales
1.4.1;1.4.1 Accidente ferroviario;1.4;1.4 Vías férreas;Grupo 1 - Accidentales
1.4.2;1.4.2 Partículas incandescentes generadas por el paso del ferrocarril (con mantención de fajas de seguridad);1.4;1.4 Vías férreas;Grupo 1 - Accidentales
1.5.1;1.5.1 Caída de avión, helicóptero u otras aeronaves, en operaciones de combate de incendios forestales o reconocimientos de zonas;1.5;1.5 Actividades de control y extinción de incendios forestales;Grupo 1 - Accidentales
1.6.1;1.6.1 Incendio estructural;1.6;1.6 Parcelaciones, edificaciones residenciales, industriales u otras en zonas rurales o de interfaz;Grupo 1 - Accidentales
1.7.1;1.7.1 Accidente o incendio de vehículo;1.7;1.7 Originados por desplazamiento de personas, vehículos o aeronaves;Grupo 1 - Accidentales
1.7.2;1.7.2 Caída de avión, helicóptero u otras aeronaves en actividades u operaciones, distintas de incendios forestales;1.7;1.7 Originados por desplazamiento de personas, vehículos o aeronaves;Grupo 1 - Accidentales
1.7.3;1.7.3 Generado por vehículo  (roce metálico, tubo de escape, desperfecto, otros);1.7;1.7 Originados por desplazamiento de personas, vehículos o aeronaves;Grupo 1 - Accidentales
1.8.1;1.8.1 Quema avisada con fines de limpieza en canales, cunetas, cercos o caminos (en predios particulares o públicos) que se propaga libre y sin control;1.8;1.8 Otras quemas;Grupo 1 - Accidentales
1.9.1;1.9.1 Contacto de fauna con el tendido eléctrico;1.9;1.9 Líneas eléctricas;Grupo 1 - Accidentales
1.9.2;1.9.2 Contacto de material vegetal (ej. Corteza de eucalipto) o no vegetal (ej. Pizarreños), desprendido y desplazado por acción del viento, con el tendido eléctrico;1.9;1.9 Líneas eléctricas;Grupo 1 - Accidentales
1.9.3;1.9.3 Otro accidente eléctrico no clasificado;1.9;1.9 Líneas eléctricas;Grupo 1 - Accidentales
1.10.1;1.10.1 Otras causas accidentales no clasificadas;1.10;1.10 Otras causas;Grupo 1 - Accidentales
2.1.1;2.1.1 No se identifica la motivación;2.1;2.1 Incendios intencionales;Grupo 2 - Intencionales
2.1.2;2.1.2 Conflicto entre personas (venganza, familiares, pasionales, otros);2.1;2.1 Incendios intencionales;Grupo 2 - Intencionales
2.1.3;2.1.3 Ataque incendiario (ataques dirigidos a bienes muebles o inmuebles);2.1;2.1 Incendios intencionales;Grupo 2 - Intencionales
2.1.4;2.1.4 Conflicto territorial o patrimonial (deslindes, propiedades, apropiaciones de terreno, otros);2.1;2.1 Incendios intencionales;Grupo 2 - Intencionales
2.1.5;2.1.5 Obtención beneficios económicos (compra de madera, presión por trabajo, robo  maderero, otros);2.1;2.1 Incendios intencionales;Grupo 2 - Intencionales
2.1.6;2.1.6 Para observar operaciones de combate de incendios forestales;2.1;2.1 Incendios intencionales;Grupo 2 - Intencionales
